Key,Value
379,160.0
380,146.2
381,135.7
382,135.9
383,129.9
384,176.7
385,177.0
386,173.8
387,173.5
388,169.7
389,168.6
390,168.2
391,165.8
392,159.5
393,152.5
394,146.0
395,142.2
396,137.0
397,133.4
398,129.9
399,127.5
400,126.1
401,153.9
402,159.3
403,161.2
404,143.9
405,123.8
406,115.7
407,106.8
340,192.4
341,187.2
342,183.1
343,183.5
344,180.6
345,176.9
346,162.0
347,154.4
348,152.0
349,147.1
350,140.4
351,137.1
352,128.9
353,156.1
354,156.1
355,155.0
356,146.8
357,142.6
358,134.6
359,132.1
436,148.8
437,150.5
438,145.9
439,147.8
440,146.9
441,135.7
442,131.2
443,124.7
444,121.5
445,118.7
446,115.3
447,113.3
448,111.8
449,134.5
450,130.5
451,132.2
452,128.1
453,107.5
454,91.4
455,91.5
456,174.2
457,174.0
458,172.4
459,173.5
460,171.0
461,169.9
462,166.7
463,164.8
464,156.7
465,146.9
466,135.8
467,126.1
468,118.6
469,109.1
470,107.3
471,101.2
472,105.9
473,131.3
474,127.9
475,119.3
476,104.4
477,95.1
478,86.8
479,74.2
717,27.6
718,17.8
719,14.5
508,154.1
509,155.2
510,155.9
511,153.7
512,153.1
513,151.6
514,146.2
515,144.5
516,141.3
517,138.1
518,132.9
519,129.3
520,125.8
521,154.7
522,157.3
523,158.0
524,146.0
525,137.6
526,135.7
527,134.8
528,169.2
530,154.0
531,149.9
532,147.1
533,144.9
534,145.0
535,144.2
536,138.2
537,133.8
538,127.2
539,122.8
540,117.6
541,112.2
542,108.8
543,105.7
544,104.7
545,126.9
546,128.6
547,132.6
548,118.0
549,107.1
550,103.1
551,89.8
559,154.8
560,156.0
561,157.0
562,148.5
563,140.7
564,139.0
565,132.1
566,128.2
567,125.0
568,122.0
569,146.2
570,147.3
571,150.7
572,138.5
573,125.6
574,119.7
575,115.8
648,200.0
649,200.2
650,198.2
651,198.5
652,197.2
653,193.8
654,188.6
655,181.4
656,173.9
657,164.5
658,151.3
659,141.8
660,135.9
661,133.2
662,131.0
663,126.3
664,123.1
665,148.2
666,148.1
667,145.1
668,111.7
669,88.3
670,66.6
671,61.0
580,152.7
581,157.2
582,155.3
583,156.3
584,155.9
585,152.0
586,144.4
587,139.7
588,133.4
589,125.6
590,121.3
591,119.2
592,119.0
593,145.0
594,146.5
595,150.0
596,138.6
597,133.7
598,129.1
599,123.9
605,157.4
606,152.0
607,152.7
608,150.4
609,146.6
610,149.0
611,144.9
612,141.0
613,135.1
614,131.7
615,127.6
616,124.8
617,152.8
618,154.7
619,158.0
620,144.6
621,138.0
622,136.8
623,137.6
